Date,High,Low,Open,Close,Volume,Adj Close
2021-07-23,138.89999389648438,115.0,116.0,126.0,694895290,126.0
2021-07-26,143.75,125.30000305175781,126.3499984741211,140.64999389648438,249723854,140.64999389648438
2021-07-27,147.8000030517578,127.75,141.6999969482422,132.89999389648438,240341900,132.89999389648438
2021-07-28,135.0,123.55000305175781,131.0,131.1999969482422,159793731,131.1999969482422
2021-07-29,144.0,132.1999969482422,134.9499969482422,141.5500030517578,117973089,141.5500030517578
2021-07-30,142.6999969482422,131.0,142.60000610351562,133.5,88312522,133.5
2021-08-02,140.75,135.14999389648438,135.75,139.6999969482422,66909732,139.6999969482422
2021-08-03,140.8000030517578,137.0,137.0,139.39999389648438,46610001,139.39999389648438
2021-08-04,141.0,135.25,139.8000030517578,138.39999389648438,41134419,138.39999389648438
2021-08-05,138.89999389648438,132.0,138.75,134.9499969482422,38437134,134.9499969482422
2021-08-06,136.1999969482422,130.10000610351562,135.5,131.35000610351562,31975356,131.35000610351562
2021-08-09,133.5500030517578,127.25,132.39999389648438,130.60000610351562,41358299,130.60000610351562
2021-08-10,131.4499969482422,122.0999984741211,131.0,125.19999694824219,43164004,125.19999694824219
2021-08-11,138.75,123.0,123.0,135.64999389648438,111702781,135.64999389648438
2021-08-12,137.39999389648438,132.0500030517578,135.64999389648438,135.4499969482422,51256670,135.4499969482422
2021-08-13,139.75,132.10000610351562,133.85000610351562,137.35000610351562,33674300,137.35000610351562
2021-08-16,136.89999389648438,132.25,136.39999389648438,134.9499969482422,20305361,134.9499969482422
2021-08-17,134.35000610351562,130.60000610351562,132.8000030517578,132.5,15815187,132.5
2021-08-18,136.8000030517578,133.3000030517578,134.5,134.9499969482422,22566920,134.9499969482422
2021-08-20,141.4499969482422,133.0,134.9499969482422,139.3000030517578,53789580,139.3000030517578
2021-08-23,137.8000030517578,124.75,137.8000030517578,127.25,68470861,127.25
2021-08-24,127.94999694824219,120.5,127.25,125.0,56713556,125.0
2021-08-25,128.5,123.0999984741211,126.0,124.25,51078811,124.25
2021-08-26,127.1500015258789,124.3499984741211,125.25,125.8499984741211,20645403,125.8499984741211
2021-08-27,129.5,124.0999984741211,126.5999984741211,124.69999694824219,22227595,124.69999694824219
2021-08-30,135.4499969482422,127.55000305175781,127.8499984741211,133.5500030517578,45239080,133.5500030517578
2021-08-31,135.1999969482422,131.35000610351562,134.0,134.5500030517578,24640924,134.5500030517578
2021-09-01,135.10000610351562,130.6999969482422,134.5500030517578,132.60000610351562,16162269,132.60000610351562
2021-09-02,138.5,131.5,132.0,137.60000610351562,27882466,137.60000610351562
2021-09-03,151.39999389648438,135.60000610351562,135.9499969482422,149.75,113381518,149.75
2021-09-06,149.35000610351562,143.25,149.25,144.0500030517578,34811620,144.0500030517578
2021-09-07,146.85000610351562,138.5500030517578,144.89999389648438,140.0500030517578,30421931,140.0500030517578
2021-09-08,143.60000610351562,139.0500030517578,141.0,141.25,28133284,141.25
2021-09-09,142.89999389648438,140.0,141.39999389648438,141.60000610351562,18970691,141.60000610351562
2021-09-13,144.25,142.0,143.25,143.14999389648438,17426798,143.14999389648438
2021-09-14,152.75,136.1999969482422,145.14999389648438,144.10000610351562,112358935,144.10000610351562
2021-09-15,145.0,140.75,142.9499969482422,142.64999389648438,38892545,142.64999389648438
2021-09-16,144.0,141.5,143.0,142.0500030517578,17634206,142.0500030517578
2021-09-17,146.89999389648438,137.14999389648438,142.5500030517578,137.89999389648438,23264091,137.89999389648438
2021-09-20,140.85000610351562,133.25,137.6999969482422,134.3000030517578,19799941,134.3000030517578
2021-09-21,138.0,131.0,137.1999969482422,133.4499969482422,19330196,133.4499969482422
2021-09-22,135.39999389648438,131.3000030517578,135.39999389648438,132.10000610351562,16923375,132.10000610351562
